,Sunan Shuofang International Airport,Nanjing Lukou International Airport,Shanghai Hongqiao International Airport,Shanghai Pudong International Airport,Tianjin Binhai International Airport,Guangzhou Baiyun International Airport,Shenzhen Bao'an International Airport,Singapore Changi Airport,new delhi airport,Ho Chih Minh airport,Noi Bai International Airport
Sunan Shuofang International Airport,-,-,-,-,16.66666667,16.66666667,24.9999999,50,50,33.33333333,24.9999999
Nanjing Lukou International Airport,-,-,-,-,16.66666667,16.66666667,24.9999999,50,50,33.33333333,24.9999999
Shanghai Hongqiao International Airport,-,-,-,-,24.9999999,24.9999999,33.33333333,58.33333333,66.66666667,41.66666667,33.33333333
Shanghai Pudong International Airport,-,-,-,-,16.66666667,16.66666667,24.9999999,50,58.33333333,33.33333333,24.9999999
Tianjin Binhai International Airport,16.66666667,16.66666667,24.9999999,16.66666667,-,-,-,58.33333333,50,41.66666667,33.33333333
Guangzhou Baiyun International Airport,16.66666667,16.66666667,24.9999999,16.66666667,-,-,-,33.33333333,50,16.66666667,8.33333333
Shenzhen Bao'an International Airport,24.9999999,24.9999999,33.33333333,24.9999999,,-,-,41.66666667,50,16.66666667,16.66666667
Singapore Changi Airport,50,50,58.33333333,50,58.33333333,33.33333333,41.66666667,-,50,16.66666667,33.33333333
new delhi airport,50,50,66.66666667,58.33333333,50,50,50,50,-,50,41.66666667
Ho Chih Minh airport,33.33333333,33.33333333,41.66666667,33.33333333,41.66666667,16.66666667,16.66666667,50,50,-,16.66666667
Noi Bai International Airport,24.9999999,24.9999999,33.33333333,24.9999999,33.33333333,8.33333333,16.66666667,33.33333333,41.66666667,16.66666667,-
