,Sunan Shuofang International Airport,Nanjing Lukou International Airport,Shanghai Hongqiao International Airport,Shanghai Pudong International Airport,Tianjin Binhai International Airport,Guangzhou Baiyun International Airport,Shenzhen Bao'an International Airport,Singapore Changi Airport,new delhi airport,Ho Chih Minh airport,Noi Bai International Airport
Sunan Shuofang International Airport,-,-,-,-,2,2,3,6,6,4,3
Nanjing Lukou International Airport,-,-,-,-,2,2,3,6,6,4,3
Shanghai Hongqiao International Airport,-,-,-,-,3,3,4,7,8,5,4
Shanghai Pudong International Airport,-,-,-,-,2,2,3,6,7,4,3
Tianjin Binhai International Airport,2,2,3,2,-,-,-,7,6,5,4
Guangzhou Baiyun International Airport,2,2,3,2,-,-,-,4,6,2,1
Shenzhen Bao'an International Airport,3,3,4,3,,-,-,5,6,2,2
Singapore Changi Airport,6,6,7,6,7,4,5,-,6,2,4
new delhi airport,6,6,8,7,6,6,6,6,-,6,5
Ho Chih Minh airport,4,4,5,4,5,2,2,6,6,-,2
Noi Bai International Airport,3,3,4,3,4,1,2,4,5,2,-
