USD/CBM,Hong Kong Port,Shanghai Port,Chiwan Port,Mawei Port,Chongqing Port,Huangpu Port,Nantong Port,Ningbo Port,Qingdao Port,Guangzhou Port,Tianjin Port,Xiamen Port,Wuxi Port,Singapore Port,Port of Kuantan,Port of Penang,Bangkok Port,Paradip Port,Saigon Port
Hong Kong Port,-,9.104477612,9.104477612,9.104477612,-,-,-,9.164179104,9.164179104,9.164179104,9.164179104,13.40298507,-,14.35820896,19.46268657,19.46268657,15.99253731,11.8358209,19.01492537
Shanghai port,9.104477612,-,4.365671642,4.365671642,10.44776119,-,-,4.365671642,4.365671642,4.365671642,4.365671642,8.5,-,8.567164179,13.67164179,13.67164179,12.89552239,5.970149254,18.58208955
Chiwan Port,9.104477612,4.365671642,-,4.365671642,-,-,-,4.365671642,4.365671642,-,6.363636364,8.5,-,8.567164179,13.67164179,13.67164179,12.89552239,5.970149254,18.58208955
Mawei Port,9.104477612,4.365671642,4.365671642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chongqing Port,-,10.44776119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Huangpu Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nantong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ningbo Port,9.164179104,4.365671642,4.365671642,-,-,-,-,-,4.365671642,4.365671642,4.365671642,8.5,-,8.567164179,13.67164179,13.67164179,12.89552239,5.970149254,18.58208955
Qingdao Port,9.164179104,4.365671642,4.365671642,-,-,-,-,4.365671642,-,-,4.365671642,8.5,-,8.567164179,13.67164179,13.67164179,13.67164179,5.970149254,18.58208955
Guangzhou Port,9.164179104,4.365671642,-,-,-,-,-,4.365671642,-,-,4.365671642,8.5,-,8.567164179,13.67164179,13.67164179,12.89552239,5.970149254,18.58208955
Tianjin Port,9.164179104,4.365671642,6.363636364,-,-,-,-,4.365671642,4.365671642,4.365671642,-,8.5,-,8.567164179,13.67164179,13.67164179,12.89552239,5.970149254,23.70149254
Xiamen Port,13.40298507,8.5,8.5,-,-,-,-,8.5,8.5,8.5,8.5,-,-,13.69402985,18.79850746,18.79850746,18.02985075,11.17164179,72
Wuxi Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapore Port,14.35820896,8.567164179,8.567164179,-,-,-,-,8.567164179,8.567164179,8.567164179,8.567164179,13.69402985,-,-,-,2.462686567,17.81818182,21.85074627,15.08955224
Port of Kuantan,19.46268657,13.67164179,13.67164179,-,-,-,-,13.67164179,13.67164179,13.67164179,13.67164179,18.79850746,-,-,-,-,10.1119403,19.85074627,16.86567164
Port of Penang,19.46268657,13.67164179,13.67164179,-,-,-,-,13.67164179,13.67164179,13.67164179,13.67164179,18.79850746,-,2.462686567,-,-,10.1119403,19.85074627,16.86567164
Bangkok Port,15.99253731,12.89552239,12.89552239,-,-,-,-,12.89552239,12.89552239,12.89552239,12.89552239,18.02985075,-,17.81818182,10.1119403,10.1119403,-,21.48507463,15.17164179
Paradip Port,11.8358209,5.970149254,5.970149254,-,-,-,-,5.970149254,5.970149254,5.970149254,5.970149254,11.17164179,-,21.85074627,19.85074627,19.85074627,21.48507463,-,21.41044776
Saigon Port,19.01492537,18.58208955,18.58208955,-,-,-,-,18.58208955,18.58208955,18.58208955,18.58208955,23.70149254,-,15.08955224,16.86567164,16.86567164,15.17164179,21.41044776,-
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Paradip Port,,,,,,,,,,,,,,,,,,,
Saigon Port,,,,,,,,,,,,,,,,,,,
