Hours,Hong Kong Port,Shanghai Port,Chiwan Port,Mawei Port,Chongqing Port,Huangpu Port,Nantong Port,Ningbo Port,Qingdao Port,Guangzhou Port,Tianjin Port,Xiamen Port,Wuxi Port,Singapore Port,Port of Kuantan,Port of Penang,Bangkok Port,Paradip Port,Saigon Port
Hong Kong Port,-,72,36,72,-,-,-,72,72,3,96,20,-,96,120,120,96,216,72
Shanghai port,72,-,48,120,-,-,-,9,24,72,48,48,-,144,168,168,168,264,120
Chiwan Port,36,48,-,24,-,-,-,48,72,-,96,24,-,96,120,120,96,216,72
Mawei Port,72,120,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chongqing Port,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Huangpu Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nantong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ningbo Port,72,9,48,-,-,-,-,-,24,48,48,24,-,144,168,168,144,264,120
Qingdao Port,72,24,72,-,-,-,-,24,-,-,24,48,-,168,192,192,168,288,144
Guangzhou Port,3,72,-,-,-,-,-,48,-,-,96,24,-,96,120,120,96,216,72
Tianjin Port,96,48,96,-,-,-,-,48,24,96,-,72,-,192,216,216,192,312,168
Xiamen Port,20,48,24,-,-,-,-,24,48,24,72,-,-,120,120,144,120,240,72
Wuxi Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapore Port,96,144,96,-,-,-,-,144,168,96,192,120,-,-,-,24,48,120,48
Port of Kuantan,120,168,120,-,-,-,-,168,192,120,216,120,-,-,-,-,72,96,48
Port of Penang,120,168,120,-,-,-,-,168,192,120,216,144,-,24,-,-,72,96,72
Bangkok Port,96,168,96,-,-,-,-,144,168,96,192,120,-,48,72,72,-,168,48
Paradip Port,216,264,216,-,-,-,-,264,288,216,312,240,-,120,96,96,168,-,168
Saigon Port,72,120,72,-,-,-,-,120,144,72,168,72,-,48,48,72,48,168,-
