,Butterworth railway station,Bangkok railway station,Kunming Train station,Chongqing train station,Shanghai train station,Wuxi train station,Shenzhen train station,Guangzhou train station,Saigon railway station,Hanoi railway station
Butterworth railway station,-,25.20895522,49.10447761,130.358209,163.641791,163.1641791,121.3432836,117.641791,36.14925373,42.05970149
Bangkok railway station,25.20895522,-,30.10447761,90.10447761,124.641791,124.6119403,82.34328358,78.64179104,16.97014925,22.70149254
Kunming Train station,49.10447761,30.10447761,-,36.23880597,93.92537313,97.56716418,60.97014925,57.28358209,36.79104478,11.14925373
Chongqing train station,130.358209,90.10447761,36.23880597,-,57.92537313,52.7761194,50,45.31343284,46.73134328,46.11940299
Shanghai train station,163.641791,124.641791,93.92537313,57.92537313,-,5.059701493,69.52238806,59.25373134,134.7313433,79.46268657
Wuxi train station,163.1641791,124.6119403,97.56716418,52.7761194,5.059701493,-,65.2238806,60.86567164,134.7164179,79.44776119
Shenzhen train station,121.3432836,82.34328358,60.97014925,50,69.52238806,65.2238806,-,5.76119403,92.43283582,37.17910448
Guangzhou train station,117.641791,78.64179104,57.28358209,45.31343284,59.25373134,60.86567164,5.76119403,-,88.73134328,33.47761194
Saigon railway station,36.14925373,16.97014925,36.79104478,46.73134328,134.7313433,134.7164179,92.43283582,88.73134328,-,27.32835821
Hanoi railway station,42.05970149,22.70149254,11.14925373,46.11940299,79.46268657,79.44776119,37.17910448,33.47761194,27.32835821,-
