,Butterworth railway station,Bangkok railway station,Kunming Train station,Chongqing train station,Shanghai train station,Wuxi train station,Shenzhen train station,Guangzhou train station,Saigon railway station,Hanoi railway station
Butterworth railway station,-,2,5,7,9,9,6,6,4,5
Bangkok railway station,2,-,3,5,7,7,4,4,2,2
Kunming Train station,5,3,-,2,5,5,3,3,4,1
Chongqing train station,7,5,2,-,3,3,3,2,5,2
Shanghai train station,9,7,5,3,-,7,4,3,7,4
Wuxi train station,9,7,5,3,7,-,4,3,7,4
Shenzhen train station,6,4,3,3,4,4,-,1,5,2
Guangzhou train station,6,4,3,2,3,3,1,-,5,2
Saigon railway station,4,2,4,5,7,7,5,5,-,3
Hanoi railway station,5,2,1,2,4,4,2,2,3,-
